date_mm_dd_yyyy,route_shift,route_name,building_name,any_birds_found_on_route_shift,building_face_direction,species,found_dead_alive
2019-09-17,PM,North Quad,Beckman Institute_228,Yes,South,Chestnut-sided Warbler_Setophaga pensylvanica,Dead
2019-09-17,PM,North Quad,Beckman Institute_228,Yes,South,American Redstart_Setophaga ruticilla,Dead
2019-09-17,PM,North Quad,Micro and Nanotechnology Laboratory_237,Yes,East,Magnolia Warbler_Setophaga magnolia,Dead
2019-09-18,PM,North Quad,Beckman Institute_228,Yes,South,Unidentifiable,Dead
2019-09-18,PM,North Quad,Beckman Institute_228,Yes,South,Black-and-white Warbler_Mniotilta varia,Dead
2019-09-18,PM,North Quad,Beckman Institute_228,Yes,South,Swainson's Thrush_Catharus ustulatus,Dead
2019-09-18,PM,North Quad,Beckman Institute_228,Yes,South,Nashville Warbler_Oreothlypis ruficapilla,Dead
2019-09-18,PM,North Quad,Electrical and Computer Engineering_409,Yes,East,Unidentifiable,Dead
2019-09-19,AM,North Quad,Everitt Electrical & Computer Engineering Laboratory_37,Yes,North,Tennessee Warbler_Oreothlypis peregrina,Dead
2019-09-19,PM,North Quad,Electrical and Computer Engineering_409,Yes,South,Tennessee Warbler_Oreothlypis peregrina,Dead
2019-09-19,PM,South Quad,Agricultural Engineering Sciences Building_8,Yes,West,Yellow-rumped Warbler_Setophaga coronata,Dead
2019-09-20,AM,South Quad,Temple Hoyne Buell Hall_339,Yes,West,Wilson's Warbler_Cardellina pusilla,Dead
2019-09-21,PM,Main Quad,Chemical & Life Sciences Laboratory_70,Yes,North,Unidentifiable,Dead
2019-09-22,AM,Main Quad,Chemistry Annex_10,Yes,North,thrush sp.,Dead
2019-09-22,AM,Other (explain in notes),Agricultural Engineering Sciences Building_8,Yes,West,Unidentifiable,Dead
2019-09-20,PM,South Quad,Law Building_156,Yes,South,Blackpoll Warbler_Setophaga striata,Dead
2019-09-21,AM,North Quad,Digital Computer Laboratory_210,Yes,North,Swainson's Thrush_Catharus ustulatus,Dead
2019-09-21,AM,North Quad,Newmark Civil Engineering Building_24,Yes,East,Ovenbird_Seiurus aurocapilla,Dead
2019-09-21,AM,North Quad,Grainger Engineering Library Information Center_324,Yes,North,American Robin_Turdus migratorius,Dead
2019-09-21,AM,North Quad,Beckman Institute_228,Yes,West,Bay-breasted Warbler_Setophaga castanea,Dead
2019-09-21,AM,North Quad,Micro and Nanotechnology Laboratory_237,Yes,North,Bay-breasted Warbler_Setophaga castanea,Dead
2019-09-21,AM,North Quad,Coordinated Science Laboratory_148,Yes,West,Unidentifiable,Dead
2019-09-22,AM,North Quad,North Campus Parking Deck_1094,Yes,North,Bay-breasted Warbler_Setophaga castanea,Dead
2019-09-22,AM,North Quad,Beckman Institute_228,Yes,South,Indigo Bunting_Passerina cyanea,Dead
2019-09-22,AM,North Quad,Beckman Institute_228,Yes,West,Chestnut-sided Warbler_Setophaga pensylvanica,Alive
2019-09-20,PM,North Quad,Beckman Institute_228,Yes,North,Unidentifiable,Dead
2019-09-20,PM,North Quad,Beckman Institute_228,Yes,South,Chestnut-sided Warbler_Setophaga pensylvanica,Dead
2019-09-20,PM,North Quad,Coordinated Science Laboratory_148,Yes,West,Bay-breasted Warbler_Setophaga castanea,Dead
2019-09-20,PM,North Quad,Coordinated Science Laboratory_148,Yes,West,Unidentifiable,Dead
2019-09-20,PM,North Quad,Electrical and Computer Engineering_409,Yes,South,Tennessee Warbler_Oreothlypis peregrina,Dead
2019-09-20,PM,North Quad,Electrical and Computer Engineering_409,Yes,South,Ovenbird_Seiurus aurocapilla,Dead
