SpeciesList
NA
Unidentifiable
Peregrine Falcon_Falco peregrinus
Prairie Falcon_Falco mexicanus
Olive-sided Flycatcher_Contopus cooperi
Eastern Wood-Pewee_Contopus virens
Yellow-bellied Flycatcher_Empidonax flaviventris
Acadian Flycatcher_Empidonax virescens
Alder Flycatcher_Empidonax alnorum
Willow Flycatcher_Empidonax traillii
Least Flycatcher_Empidonax minimus
Eastern Phoebe_Sayornis phoebe
Great Crested Flycatcher_Myiarchus crinitus
Western Kingbird_Tyrannus verticalis
Eastern Kingbird_Tyrannus tyrannus
Scissor-tailed Flycatcher_Tyrannus forficatus
Loggerhead Shrike_Lanius ludovicianus
Northern Shrike_Lanius borealis
White-eyed Vireo_Vireo griseus
Bell's Vireo_Vireo bellii
Yellow-throated Vireo_Vireo flavifrons
Blue-headed Vireo_Vireo solitarius
Philadelphia Vireo_Vireo philadelphicus
Warbling Vireo_Vireo gilvus
Red-eyed Vireo_Vireo olivaceus
Blue Jay_Cyanocitta cristata
Black-billed Magpie_Pica hudsonia
American Crow_Corvus brachyrhynchos
Horned Lark_Eremophila alpestris
Northern Rough-winged Swallow_Stelgidopteryx serripennis
Purple Martin_Progne subis
Tree Swallow_Tachycineta bicolor
Bank Swallow_Riparia riparia
Barn Swallow_Hirundo rustica
Cliff Swallow_Petrochelidon pyrrhonota
Carolina Chickadee_Poecile carolinensis
Black-capped Chickadee_Poecile atricapillus
Tufted Titmouse_Baeolophus bicolor
Red-breasted Nuthatch_Sitta canadensis
White-breasted Nuthatch_Sitta carolinensis
Brown Creeper_Certhia americana
House Wren_Troglodytes aedon
Winter Wren_Troglodytes hiemalis
Sedge Wren_Cistothorus platensis
Marsh Wren_Cistothorus palustris
Carolina Wren_Thryothorus ludovicianus
Bewick's Wren_Thryomanes bewickii
Blue-gray Gnatcatcher_Polioptila caerulea
Golden-crowned Kinglet_Regulus satrapa
Ruby-crowned Kinglet_Regulus calendula
Eastern Bluebird_Sialia sialis
Veery_Catharus fuscescens
Gray-cheeked Thrush_Catharus minimus
Swainson's Thrush_Catharus ustulatus
Hermit Thrush_Catharus guttatus
Wood Thrush_Hylocichla mustelina
American Robin_Turdus migratorius
Gray Catbird_Dumetella carolinensis
Brown Thrasher_Toxostoma rufum
Northern Mockingbird_Mimus polyglottos
European Starling_Sturnus vulgaris
American Pipit_Anthus rubescens
Bohemian Waxwing_Bombycilla garrulus
Cedar Waxwing_Bombycilla cedrorum
Evening Grosbeak_Coccothraustes vespertinus
House Finch_Haemorhous mexicanus
Purple Finch_Haemorhous purpureus
Common Redpoll_Acanthis flammea
Hoary Redpoll_Acanthis hornemanni
Red Crossbill_Loxia curvirostra
White-winged Crossbill_Loxia leucoptera
Pine Siskin_Spinus pinus
American Goldfinch_Spinus tristis
Lapland Longspur_Calcarius lapponicus
Smith's Longspur_Calcarius pictus
Snow Bunting_Plectrophenax nivalis
Grasshopper Sparrow_Ammodramus savannarum
Chipping Sparrow_Spizella passerina
Clay-colored Sparrow_Spizella pallida
Field Sparrow_Spizella pusilla
Lark Sparrow_Chondestes grammacus
American Tree Sparrow_Spizelloides arborea
Fox Sparrow_Passerella iliaca
Dark-eyed Junco_Junco hyemalis
White-crowned Sparrow_Zonotrichia leucophrys
Harris's Sparrow_Zonotrichia querula
White-throated Sparrow_Zonotrichia albicollis
Vesper Sparrow_Pooecetes gramineus
LeConte's Sparrow_Ammospiza leconteii
Nelson's Sparrow_Ammospiza nelsoni
Savannah Sparrow_Passerculus sandwichensis
Henslow's Sparrow_Centronyx henslowii
Song Sparrow_Melospiza melodia
Lincoln's Sparrow_Melospiza lincolnii
Swamp Sparrow_Melospiza georgiana
Eastern Towhee_Pipilo erythrophthalmus
Yellow-breasted Chat_Icteria virens
Yellow-headed Blackbird_Xanthocephalus xanthocephalus
Bobolink_Dolichonyx oryzivorus
Western Meadowlark_Sturnella neglecta
Eastern Meadowlark_Sturnella magna
Orchard Oriole_Icterus spurius
Baltimore Oriole_Icterus galbula
Red-winged Blackbird_Agelaius phoeniceus
Brown-headed Cowbird_Molothrus ater
Rusty Blackbird_Euphagus carolinus
Brewer's Blackbird_Euphagus cyanocephalus
Common Grackle_Quiscalus quiscula
Great-tailed Grackle_Quiscalus mexicanus
Ovenbird_Seiurus aurocapilla
Worm-eating Warbler_Helmitheros vermivorum
Louisiana Waterthrush_Parkesia motacilla
Northern Waterthrush_Parkesia noveboracensis
Golden-winged Warbler_Vermivora chrysoptera
Blue-winged Warbler_Vermivora cyanoptera
Black-and-white Warbler_Mniotilta varia
Prothonotary Warbler_Protonotaria citrea
Tennessee Warbler_Oreothlypis peregrina
Orange-crowned Warbler_Oreothlypis celata
Nashville Warbler_Oreothlypis ruficapilla
Connecticut Warbler_Oporornis agilis
Mourning Warbler_Geothlypis philadelphia
Kentucky Warbler_Geothlypis formosa
Common Yellowthroat_Geothlypis trichas
Hooded Warbler_Setophaga citrina
American Redstart_Setophaga ruticilla
Cape May Warbler_Setophaga tigrina
Cerulean Warbler_Setophaga cerulea
Northern Parula_Setophaga americana
Magnolia Warbler_Setophaga magnolia
Bay-breasted Warbler_Setophaga castanea
Blackburnian Warbler_Setophaga fusca
Yellow Warbler_Setophaga petechia
Chestnut-sided Warbler_Setophaga pensylvanica
Blackpoll Warbler_Setophaga striata
Black-throated Blue Warbler_Setophaga caerulescens
Palm Warbler_Setophaga palmarum
Pine Warbler_Setophaga pinus
Yellow-rumped Warbler_Setophaga coronata
Yellow-throated Warbler_Setophaga dominica
Prairie Warbler_Setophaga discolor
Black-throated Green Warbler_Setophaga virens
Canada Warbler_Cardellina canadensis
Wilson's Warbler_Cardellina pusilla
Summer Tanager_Piranga rubra
Scarlet Tanager_Piranga olivacea
Western Tanager_Piranga ludoviciana
Northern Cardinal_Cardinalis cardinalis
Rose-breasted Grosbeak_Pheucticus ludovicianus
Blue Grosbeak_Passerina caerulea
Indigo Bunting_Passerina cyanea
Dickcissel_Spiza americana
House Sparrow_Passer domesticus
Eurasian Tree Sparrow_Passer montanus
